date,cases
7/8/17,17
7/15/17,11
7/22/17,11
7/29/17,29
8/5/17,18
8/12/17,11
8/19/17,17
8/26/17,14
9/2/17,5
9/9/17,14
9/16/17,17
9/23/17,18
9/30/17,23
10/7/17,16
10/14/17,37
10/21/17,27
10/28/17,31
11/4/17,67
11/11/17,61
11/18/17,133
11/25/17,107
12/2/17,182
12/9/17,232
12/16/17,563
12/23/17,2227
12/30/17,3334
1/6/18,2992
1/13/18,2070
1/20/18,1183
1/27/18,601
2/3/18,835
2/10/18,941
2/17/18,721
2/24/18,501
3/3/18,708
3/10/18,620
3/17/18,684
3/24/18,399
3/31/18,247
4/7/18,264
4/14/18,175
4/21/18,101
4/28/18,
5/5/18,
5/12/18,
5/19/18,
5/26/18,
6/2/18,
6/9/18,
6/16/18,
6/23/18,
6/30/18,
