dates,cases
3/16/14,1
3/23/14,1
3/30/14,2
4/6/14,0
4/13/14,0
4/20/14,0
4/27/14,1
5/4/14,4
5/11/14,0
5/18/14,1
5/25/14,0
6/1/14,3
6/8/14,17
6/15/14,28
6/22/14,28
6/29/14,22
7/6/14,33
7/13/14,27
7/20/14,84
7/27/14,84
8/3/14,161
8/10/14,219
8/17/14,344
8/24/14,334
8/31/14,364
9/7/14,320
9/14/14,311
9/21/14,322
9/28/14,212
10/5/14,184
10/12/14,128
10/19/14,74
10/26/14,91
11/2/14,101
11/9/14,86
11/16/14,
11/23/14,
11/30/14,
12/7/14,
12/14/14,
12/21/14,
12/28/14,
1/4/15,
1/11/15,
1/18/15,
1/25/15,
2/1/15,
2/8/15,
2/15/15,
2/22/15,
3/1/15,
3/8/15,
3/15/15,
3/22/15,
3/29/15,
4/5/15,
4/12/15,
4/19/15,
4/26/15,
